Row(host=u'ns1.maf.mobile.al.us', frequency=211, totalBytes=2528762, averageSize=11984.654028436018)
Row(host=u'gk-west.usps.gov', frequency=212, totalBytes=3615030, averageSize=17052.028301886792)
Row(host=u'surveyor.jf.intel.com', frequency=213, totalBytes=7862540, averageSize=36913.333333333336)
Row(host=u'163.205.16.66', frequency=213, totalBytes=559961, averageSize=2628.924882629108)
Row(host=u'163.205.2.204', frequency=213, totalBytes=554640, averageSize=2603.943661971831)
Row(host=u'ztivax.zfe.siemens.de', frequency=213, totalBytes=5320189, averageSize=24977.413145539907)
Row(host=u'smaug.eecs.umich.edu', frequency=213, totalBytes=5562914, averageSize=26116.967136150233)
Row(host=u'128.159.165.144', frequency=214, totalBytes=1476641, averageSize=6900.191588785046)
Row(host=u'n1122121.ksc.nasa.gov', frequency=215, totalBytes=740056, averageSize=3442.1209302325583)
Row(host=u'n1031727.ksc.nasa.gov', frequency=215, totalBytes=543164, averageSize=2526.344186046512)
Row(host=u'titan02f', frequency=215, totalBytes=9145006, averageSize=42534.91162790698)
Row(host=u'n1028279.ksc.nasa.gov', frequency=216, totalBytes=766010, averageSize=3546.3425925925926)
Row(host=u'triton', frequency=216, totalBytes=3597753, averageSize=16656.26388888889)
Row(host=u'147.147.191.43', frequency=216, totalBytes=1829115, averageSize=8468.125)
Row(host=u'cossc.gsfc.nasa.gov', frequency=217, totalBytes=4955081, averageSize=22834.474654377882)
Row(host=u'204.30.14.10', frequency=217, totalBytes=2280932, averageSize=10511.207373271889)
Row(host=u'163.205.12.102', frequency=218, totalBytes=627315, averageSize=2877.591743119266)
Row(host=u'endeavor.fujitsu.co.jp', frequency=219, totalBytes=8219020, averageSize=37529.77168949772)
Row(host=u'152.163.192.6', frequency=219, totalBytes=6193038, averageSize=28278.712328767124)
Row(host=u'128.227.8.135', frequency=219, totalBytes=14536427, averageSize=66376.37899543378)
Row(host=u'n1123735.ksc.nasa.gov', frequency=220, totalBytes=1394822, averageSize=6340.1)
Row(host=u'n1032613.ksc.nasa.gov', frequency=220, totalBytes=2028809, averageSize=9221.85909090909)
Row(host=u'internet-gw.watson.ibm.com', frequency=221, totalBytes=4111758, averageSize=18605.239819004524)
Row(host=u'bam.nuri.net', frequency=221, totalBytes=5878287, averageSize=26598.58371040724)
Row(host=u'bbeznoska.lerc.nasa.gov', frequency=221, totalBytes=4778421, averageSize=21621.814479638007)
Row(host=u'163.205.12.176', frequency=223, totalBytes=2502973, averageSize=11224.094170403587)
Row(host=u'hawk.mts.com', frequency=223, totalBytes=2072391, averageSize=9293.233183856502)
Row(host=u'147.74.41.186', frequency=224, totalBytes=1573703, averageSize=7025.459821428572)
Row(host=u'emllab.ksc.nasa.gov', frequency=224, totalBytes=1861198, averageSize=8308.919642857143)
Row(host=u'spiral_b.secom-sis.co.jp', frequency=224, totalBytes=3848642, averageSize=17181.4375)
Row(host=u'203.255.208.24', frequency=224, totalBytes=3040173, averageSize=13572.200892857143)
Row(host=u'n1123732.ksc.nasa.gov', frequency=224, totalBytes=584361, averageSize=2608.754464285714)
Row(host=u'www.thyssen.com', frequency=225, totalBytes=7150691, averageSize=31780.84888888889)
